user_id,username,email,phone_number,user_type
0,ivan41,haynesandrea@example.org,3398292968,Owner
1,gutierrezkelly,alevine@example.net,233.845.1438,Owner
2,benjaminshannon,rogerscynthia@example.net,001-885-260-7439x04182,Buyer
3,kyle04,gary77@example.org,925.468.2463x09193,Buyer
4,stanley53,daniel48@example.net,747.656.3607,Agent
5,mark53,jonathan03@example.org,+1-654-228-9239x54247,Buyer
6,matthew56,sierraduncan@example.org,+1-783-892-3879x7461,Owner
7,lwhite,brittneyalvarez@example.org,(898)518-5007x499,Buyer
8,hoffmanhenry,leonarddaniel@example.com,902.829.0723x478,Buyer
9,bradley53,richard58@example.org,295.736.3941x8412,Owner
10,jamesaguilar,biancataylor@example.com,+1-788-228-8155x4353,Owner
11,marywood,armstrongnicholas@example.net,893-828-1465,Owner
12,npowell,agrant@example.com,(786)241-0963x875,Buyer
13,tracysilva,sawyerbetty@example.org,(249)714-7067x69472,Owner
14,christopherjohnson,victorbrown@example.net,7095645649,Agent
15,paul74,bwatson@example.com,001-227-605-4741x1183,Buyer
16,susan17,dixonrichard@example.org,753-688-6735,Owner
17,tabithareyes,paulmyers@example.com,(296)504-0669x8143,Buyer
18,zhughes,erica62@example.org,846.288.4278x0526,Owner
19,vchandler,michael91@example.org,930-251-8470x4613,Agent
20,wendybooth,johnsonnicole@example.net,601-588-0962x81494,Owner
21,denisegreen,yphillips@example.com,+1-670-529-3599x626,Buyer
22,nfoster,jessicawolf@example.org,625.621.2833x7124,Owner
23,lnguyen,fbradley@example.net,(487)566-9355x716,Buyer
24,jeannejohnson,aaronlewis@example.net,934.822.9531x66147,Buyer
25,rodneydavis,heatherjames@example.org,6493801753,Agent
26,martinezmichael,uwalters@example.net,+1-307-894-8757x3396,Owner
27,sullivanmichael,timothyandrews@example.net,704.273.2259,Buyer
28,monroebrent,xscott@example.org,704.751.0889,Buyer
29,richardray,ramosmatthew@example.com,337-998-7922,Buyer
30,sarah25,matthew94@example.net,816.310.4784,Owner
31,dylanwalsh,jsandoval@example.org,555-850-4083,Owner
32,leachmichael,robertgutierrez@example.org,980.485.3681x7132,Owner
33,pdixon,moralesfrancisco@example.net,669-676-7068x911,Buyer
34,zthompson,laurie87@example.com,(834)706-0203,Buyer
35,tcampbell,jonathanlewis@example.net,890-853-0304,Agent
36,stevencook,lisaadams@example.org,001-590-729-2261x6978,Owner
37,hdiaz,walkerscott@example.net,+1-779-205-6111x819,Owner
38,jessica13,zmckenzie@example.net,(443)445-4158,Agent
39,oconnellsabrina,angela41@example.com,(505)553-2644x422,Agent
40,jennifer28,zallison@example.com,+1-714-507-6676x4459,Agent
41,joneshailey,daniellegreene@example.org,+1-576-237-5058,Buyer
42,john29,robert16@example.org,001-357-610-1885,Buyer
43,yatesmorgan,scott30@example.com,768.583.6875,Buyer
44,alexandriakirby,campbellmatthew@example.net,900.575.9348x90819,Owner
45,smithjessica,james89@example.net,773-280-2078x86867,Agent
46,nicholasyoung,aprilsimmons@example.net,001-341-538-2009x214,Owner
47,xchambers,jennifer44@example.com,001-266-804-1681x567,Agent
48,maryphillips,aspence@example.com,3358637019,Owner
49,andersonrebekah,williamgeorge@example.net,826.690.9782,Agent
